r,t,y,NewCapacity
RE1,IMPOIL,2039,20.5793
RE1,IMPOIL,2040,67.4031
RE1,IMPOIL,2041,97.917
RE1,IMPOIL,2042,123.0221
RE1,IMPOIL,2043,142.3274
RE1,IMPOIL,2044,125.098
RE1,IMPOIL,2045,106.8903
RE1,IMPOIL,2046,87.2979
RE1,IMPOIL,2047,101.5251
RE1,IMPOIL,2048,61.1057
RE1,IMPOIL,2049,28.4557
RE1,MINBIO,2015,27.6641
RE1,MINBIO,2016,27.7044
RE1,MINBIO,2017,103.4348
RE1,MINBIO,2018,179.1675
RE1,MINBIO,2019,254.9026
RE1,MINBIO,2020,330.6402
RE1,MINBIO,2021,323.688
RE1,MINBIO,2022,316.4172
RE1,MINBIO,2023,308.8381
RE1,MINBIO,2024,300.9602
RE1,MINBIO,2025,292.7908
RE1,MINBIO,2026,284.0511
RE1,MINBIO,2027,275.0602
RE1,MINBIO,2028,265.8217
RE1,MINBIO,2029,256.3382
RE1,MINBIO,2030,246.6115
RE1,MINBIO,2031,230.0319
RE1,MINBIO,2032,214.2591
RE1,MINBIO,2033,199.1849
RE1,MINBIO,2034,184.7207
RE1,MINBIO,2035,178.5531
RE1,MINBIO,2036,166.6381
RE1,MINBIO,2037,154.6972
RE1,MINBIO,2038,142.7399
RE1,MINBIO,2039,135.925
RE1,MINBIO,2040,118.8073
RE1,MINBIO,2041,106.5129
RE1,MINBIO,2042,96.4035
RE1,MINBIO,2043,82.8977
RE1,MINBIO,2044,69.8678
RE1,MINBIO,2045,57.9175
RE1,MINBIO,2046,45.8905
RE1,MINBIO,2047,34.0953
RE1,MINBIO,2048,22.5212
RE1,MINBIO,2049,11.1589
RE1,IMPCOA,2015,8.1033
RE1,IMPCOA,2016,8.5372
RE1,IMPCOA,2017,8.9943
RE1,IMPCOA,2018,9.4759
RE1,IMPCOA,2019,9.9832
RE1,IMPCOA,2020,10.5178
RE1,IMPCOA,2021,10.5572
RE1,IMPCOA,2022,10.5812
RE1,IMPCOA,2023,10.589
RE1,IMPCOA,2024,10.58
RE1,IMPCOA,2025,11.9801
RE1,IMPCOA,2026,18.0036
RE1,IMPCOA,2027,10.4221
RE1,IMPCOA,2028,10.3268
RE1,IMPCOA,2029,10.2102
RE1,IMPCOA,2030,10.0712
RE1,IMPCOA,2031,9.7147
RE1,IMPCOA,2032,9.3574
RE1,IMPCOA,2033,8.9958
RE1,IMPCOA,2034,12.5969
RE1,IMPCOA,2035,19.5117
RE1,IMPCOA,2036,24.4384
RE1,IMPCOA,2037,28.6947
RE1,IMPCOA,2038,29.7832
RE1,IMPCOA,2039,29.7832
RE1,IMPCOA,2040,29.7832
RE1,IMPCOA,2041,29.7832
RE1,IMPCOA,2042,25.3661
RE1,IMPCOA,2043,19.4816
RE1,IMPCOA,2044,19.4801
RE1,IMPCOA,2045,18.6959
RE1,IMPCOA,2046,16.9073
RE1,IMPCOA,2047,14.2344
RE1,IMPCOA,2048,10.5898
RE1,IMPCOA,2049,5.879
RE1,IMPLFO,2015,202.5455
RE1,IMPLFO,2016,213.3901
RE1,IMPLFO,2017,224.8153
RE1,IMPLFO,2018,236.8523
RE1,IMPLFO,2019,249.5338
RE1,IMPLFO,2020,262.8942
RE1,IMPLFO,2021,249.8237
RE1,IMPLFO,2022,239.4345
RE1,IMPLFO,2023,233.8688
RE1,IMPLFO,2024,230.0492
RE1,IMPLFO,2025,220.4302
RE1,IMPLFO,2026,228.8534
RE1,IMPLFO,2027,246.2921
RE1,IMPLFO,2028,258.1209
RE1,IMPLFO,2029,255.2071
RE1,IMPLFO,2030,251.7321
RE1,IMPLFO,2031,242.8217
RE1,IMPLFO,2032,233.8898
RE1,IMPLFO,2033,224.853
RE1,IMPLFO,2034,215.6385
RE1,IMPLFO,2035,215.5482
RE1,IMPLFO,2036,208.0249
RE1,IMPLFO,2037,199.7033
RE1,IMPLFO,2038,190.5494
RE1,IMPLFO,2039,173.4284
RE1,IMPLFO,2040,130.3802
RE1,IMPLFO,2041,77.3749
RE1,IMPLFO,2042,32.0278
RE1,UPSREF001,2039,20.5793
RE1,UPSREF001,2040,46.8238
RE1,UPSREF001,2041,30.5139
RE1,UPSREF001,2042,25.1051
RE1,UPSREF001,2043,19.3052
RE1,MINNGS,2022,15.9998
RE1,MINNGS,2023,28.3495
RE1,MINNGS,2024,28.3495
RE1,MINNGS,2025,28.3495
RE1,MINNGS,2026,28.3495
RE1,MINNGS,2027,28.3495
RE1,MINNGS,2028,28.3495
RE1,MINNGS,2029,28.3495
RE1,MINNGS,2030,28.3495
RE1,MINNGS,2031,28.3495
RE1,MINNGS,2032,28.3495
RE1,MINNGS,2033,28.3495
RE1,MINNGS,2034,28.3495
RE1,MINNGS,2035,28.3495
RE1,MINNGS,2036,28.3495
RE1,MINNGS,2037,26.2766
RE1,MINNGS,2038,23.553
RE1,MINNGS,2039,20.2499
RE1,MINNGS,2040,19.7919
RE1,MINNGS,2041,19.0986
