r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,IMPOIL,1,2039,20.5793
RE1,IMPOIL,1,2040,67.4031
RE1,IMPOIL,1,2041,97.917
RE1,IMPOIL,1,2042,123.0221
RE1,IMPOIL,1,2043,142.3274
RE1,IMPOIL,1,2044,125.098
RE1,IMPOIL,1,2045,106.8903
RE1,IMPOIL,1,2046,87.2979
RE1,IMPOIL,1,2047,66.8537
RE1,IMPOIL,1,2048,45.5166
RE1,IMPOIL,1,2049,23.2458
RE1,MINBIO,1,2015,27.6641
RE1,MINBIO,1,2016,27.7044
RE1,MINBIO,1,2017,103.4348
RE1,MINBIO,1,2018,179.1675
RE1,MINBIO,1,2019,254.9026
RE1,MINBIO,1,2020,330.6402
RE1,MINBIO,1,2021,323.688
RE1,MINBIO,1,2022,316.4172
RE1,MINBIO,1,2023,308.8381
RE1,MINBIO,1,2024,300.9602
RE1,MINBIO,1,2025,292.7908
RE1,MINBIO,1,2026,284.0511
RE1,MINBIO,1,2027,275.0602
RE1,MINBIO,1,2028,265.8217
RE1,MINBIO,1,2029,256.3382
RE1,MINBIO,1,2030,246.6115
RE1,MINBIO,1,2031,230.0319
RE1,MINBIO,1,2032,214.2591
RE1,MINBIO,1,2033,199.1849
RE1,MINBIO,1,2034,184.7207
RE1,MINBIO,1,2035,178.5531
RE1,MINBIO,1,2036,166.6381
RE1,MINBIO,1,2037,154.6972
RE1,MINBIO,1,2038,142.7399
RE1,MINBIO,1,2039,130.7744
RE1,MINBIO,1,2040,118.8073
RE1,MINBIO,1,2041,106.4097
RE1,MINBIO,1,2042,94.1174
RE1,MINBIO,1,2043,81.9355
RE1,MINBIO,1,2044,69.8678
RE1,MINBIO,1,2045,57.9175
RE1,MINBIO,1,2046,45.8905
RE1,MINBIO,1,2047,34.0953
RE1,MINBIO,1,2048,22.5212
RE1,MINBIO,1,2049,11.1589
RE1,IMPCOA,1,2015,8.1033
RE1,IMPCOA,1,2016,8.5372
RE1,IMPCOA,1,2017,8.9943
RE1,IMPCOA,1,2018,9.4759
RE1,IMPCOA,1,2019,9.9832
RE1,IMPCOA,1,2020,10.5178
RE1,IMPCOA,1,2021,10.5572
RE1,IMPCOA,1,2022,10.5812
RE1,IMPCOA,1,2023,10.589
RE1,IMPCOA,1,2024,10.58
RE1,IMPCOA,1,2025,11.9801
RE1,IMPCOA,1,2026,15.5626
RE1,IMPCOA,1,2027,10.4221
RE1,IMPCOA,1,2028,10.3268
RE1,IMPCOA,1,2029,10.2102
RE1,IMPCOA,1,2030,10.0712
RE1,IMPCOA,1,2031,9.7147
RE1,IMPCOA,1,2032,9.3574
RE1,IMPCOA,1,2033,8.9958
RE1,IMPCOA,1,2034,12.5969
RE1,IMPCOA,1,2035,18.9514
RE1,IMPCOA,1,2036,22.7873
RE1,IMPCOA,1,2037,26.2356
RE1,IMPCOA,1,2038,29.2313
RE1,IMPCOA,1,2039,29.7832
RE1,IMPCOA,1,2040,27.2949
RE1,IMPCOA,1,2041,24.7229
RE1,IMPCOA,1,2042,22.1188
RE1,IMPCOA,1,2043,19.4816
RE1,IMPCOA,1,2044,19.4801
RE1,IMPCOA,1,2045,18.6959
RE1,IMPCOA,1,2046,16.9073
RE1,IMPCOA,1,2047,14.2344
RE1,IMPCOA,1,2048,10.5898
RE1,IMPCOA,1,2049,5.879
RE1,IMPLFO,1,2015,202.5455
RE1,IMPLFO,1,2016,213.3901
RE1,IMPLFO,1,2017,224.8153
RE1,IMPLFO,1,2018,236.8523
RE1,IMPLFO,1,2019,249.5338
RE1,IMPLFO,1,2020,262.8942
RE1,IMPLFO,1,2021,249.8237
RE1,IMPLFO,1,2022,239.4345
RE1,IMPLFO,1,2023,233.8688
RE1,IMPLFO,1,2024,230.0492
RE1,IMPLFO,1,2025,220.4302
RE1,IMPLFO,1,2026,228.8534
RE1,IMPLFO,1,2027,246.2921
RE1,IMPLFO,1,2028,258.1209
RE1,IMPLFO,1,2029,255.2071
RE1,IMPLFO,1,2030,251.7321
RE1,IMPLFO,1,2031,242.8217
RE1,IMPLFO,1,2032,233.8898
RE1,IMPLFO,1,2033,224.853
RE1,IMPLFO,1,2034,215.6385
RE1,IMPLFO,1,2035,215.5482
RE1,IMPLFO,1,2036,208.0249
RE1,IMPLFO,1,2037,199.7033
RE1,IMPLFO,1,2038,190.5494
RE1,IMPLFO,1,2039,162.0054
RE1,IMPLFO,1,2040,108.9336
RE1,IMPLFO,1,2041,68.4483
RE1,IMPLFO,1,2042,32.0278
RE1,UPSREF001,1,2039,20.5793
RE1,UPSREF001,1,2040,67.4031
RE1,UPSREF001,1,2041,97.917
RE1,UPSREF001,1,2042,123.0221
RE1,UPSREF001,1,2043,142.3274
RE1,UPSREF001,1,2044,125.098
RE1,UPSREF001,1,2045,106.8903
RE1,UPSREF001,1,2046,87.2979
RE1,UPSREF001,1,2047,66.8537
RE1,UPSREF001,1,2048,45.5166
RE1,UPSREF001,1,2049,23.2458
RE1,MINNGS,1,2022,15.9998
RE1,MINNGS,1,2023,28.3495
RE1,MINNGS,1,2024,28.3495
RE1,MINNGS,1,2025,27.912
RE1,MINNGS,1,2026,27.434
RE1,MINNGS,1,2027,25.9171
RE1,MINNGS,1,2028,26.0222
RE1,MINNGS,1,2029,24.8394
RE1,MINNGS,1,2030,23.5813
RE1,MINNGS,1,2031,21.9983
RE1,MINNGS,1,2032,20.44
RE1,MINNGS,1,2033,18.9035
RE1,MINNGS,1,2034,17.4212
RE1,MINNGS,1,2035,15.9642
RE1,MINNGS,1,2036,14.5354
RE1,MINNGS,1,2037,13.1383
RE1,MINNGS,1,2038,11.7765
RE1,MINNGS,1,2039,10.125
RE1,MINNGS,1,2040,9.896
RE1,MINNGS,1,2041,9.5493
RE1,MINNGS,1,2042,9.0788
RE1,MINNGS,1,2043,8.4778
RE1,MINNGS,1,2044,7.7395
RE1,MINNGS,1,2045,6.8567
RE1,MINNGS,1,2046,5.8218
RE1,MINNGS,1,2047,4.6271
RE1,MINNGS,1,2048,3.2644
RE1,MINNGS,1,2049,1.6955
RE1,MINSOL,1,2015,0.1719
RE1,MINSOL,1,2017,0.1736
RE1,MINSOL,1,2021,0.5019
RE1,MINSOL,1,2022,0.5019
RE1,MINSOL,1,2023,0.6485
RE1,MINSOL,1,2024,1.9903
RE1,MINSOL,1,2025,6.8632
RE1,MINSOL,1,2026,7.3974
RE1,MINSOL,1,2027,7.7826
RE1,MINSOL,1,2028,8.19
RE1,MINSOL,1,2029,8.6209
RE1,MINSOL,1,2030,20.5962
RE1,MINSOL,1,2031,27.0886
RE1,MINSOL,1,2032,31.3039
RE1,MINSOL,1,2033,32.6385
